iter	Logloss
0	0.6809211473
1	0.6695227384
2	0.6592282423
3	0.6487926584
4	0.6391639786
5	0.6303859573
6	0.6219365599
7	0.6141818819
8	0.6072514208
9	0.6006894978
10	0.5949107654
11	0.5888499215
12	0.5833450051
13	0.5776530569
14	0.5724653405
15	0.5677205208
16	0.5635916306
17	0.5596404265
18	0.5558968086
19	0.5520563545
20	0.5484126676
21	0.544890065
22	0.5418219595
23	0.5390436442
24	0.5360978906
25	0.5335432769
26	0.5309836259
27	0.5283862468
28	0.5263523772
29	0.5242368608
30	0.5222357975
31	0.5204090308
32	0.5184004661
33	0.5167982542
34	0.5149530781
35	0.5132853752
36	0.5117497768
37	0.5104464729
38	0.5090118221
39	0.507939008
40	0.5066402419
41	0.5054050297
42	0.5042170035
43	0.5031269122
44	0.5021872724
45	0.5010815969
46	0.5001615154
47	0.4991723544
48	0.4982282259
49	0.497439573
50	0.4967265207
51	0.495872031
52	0.4949942095
53	0.4943822833
54	0.4937892202
55	0.4931754982
56	0.4924482793
57	0.4918173473
58	0.4912252011
59	0.4907686989
60	0.490124409
61	0.4895910134
62	0.4890886134
63	0.4887562768
64	0.4882303357
65	0.4876545727
66	0.4873103257
67	0.4868501639
68	0.486492831
69	0.4860991646
70	0.4856923337
71	0.4853206734
72	0.4850056625
73	0.4846532674
74	0.484288626
75	0.4839572199
76	0.4836268459
77	0.4833634092
78	0.4830563192
79	0.4827737081
80	0.4825245674
81	0.4823661384
82	0.4820569705
83	0.481775945
84	0.4814884858
85	0.4812313558
86	0.4809651224
87	0.4807343017
88	0.4805267612
89	0.4802639444
90	0.4800703781
91	0.4799748195
92	0.4797983223
93	0.4796183967
94	0.4794247264
95	0.4791894055
96	0.4789596674
97	0.4788024731
98	0.4786232616
99	0.4784856845
100	0.478295753
101	0.4781986242
102	0.4780895167
103	0.4779509661
104	0.47773821
105	0.4775991083
106	0.4774276611
107	0.477306837
108	0.4771745342
109	0.4770662338
110	0.4769457679
111	0.4767891619
112	0.4766407619
113	0.4764888268
114	0.476394958
115	0.4762799775
116	0.4761898701
117	0.4761064257
118	0.4760064409
119	0.475886688
120	0.4757862595
121	0.4756789323
122	0.4755884968
123	0.475502759
124	0.4754093189
125	0.4753254581
126	0.4752057068
127	0.4751361712
128	0.4750463414
129	0.4748948231
130	0.4747923639
131	0.4746903111
132	0.4745992632
133	0.4745264777
134	0.4744581571
135	0.4743521778
136	0.4742664357
137	0.4741725718
138	0.4740900929
139	0.4739940862
140	0.4739362745
141	0.4738491718
142	0.473762163
143	0.473721146
144	0.4736567959
145	0.4735640057
146	0.4734841412
147	0.4734239553
148	0.4733603749
149	0.4732713899
150	0.4731845715
151	0.4731109232
152	0.4730476197
153	0.4729846864
154	0.4729044707
155	0.4728401352
156	0.4727710042
157	0.4727019466
158	0.4726451782
159	0.4725744333
160	0.4724846155
161	0.4724379288
162	0.4724235745
163	0.4723682792
164	0.47231139
165	0.472258328
166	0.4722019045
167	0.4721349464
168	0.4720840193
169	0.4720405491
170	0.4719925025
171	0.4719390895
172	0.4718817906
173	0.4718403213
174	0.4717927041
175	0.4717461814
176	0.4717122714
177	0.471660133
178	0.4716109301
179	0.4715670031
180	0.471510579
181	0.4714362191
182	0.4713714976
183	0.47133245
184	0.4712915243
185	0.4712452176
186	0.4712031378
187	0.4711408157
188	0.4711009861
189	0.4710526391
190	0.4709875035
191	0.4709360932
192	0.4708933106
193	0.470849846
194	0.4708193866
195	0.4707717447
196	0.4707228677
197	0.4706650234
198	0.4706427227
199	0.4706012575
200	0.4705313763
201	0.4704780833
202	0.4704416187
203	0.4703929402
204	0.4703228423
205	0.4702869267
206	0.4702387043
207	0.4702015829
208	0.4701604297
209	0.4701153223
210	0.47006102
211	0.4700230205
212	0.4699703615
