iter	Passed	Remaining
0	14	28809
1	34	34548
2	46	30687
3	57	28837
4	68	27468
5	79	26398
6	90	25736
7	101	25247
8	112	24777
9	122	24458
10	134	24341
11	145	24129
12	157	24093
13	168	23931
14	179	23726
15	190	23589
16	202	23585
17	212	23412
18	223	23271
19	234	23184
20	244	23076
21	257	23145
22	268	23058
23	279	23036
24	290	22982
25	301	22890
26	311	22783
27	322	22743
28	334	22705
29	345	22670
30	355	22587
31	365	22502
32	376	22462
33	387	22403
34	399	22447
35	412	22515
36	423	22480
37	435	22475
38	446	22442
39	458	22475
40	468	22408
41	481	22427
42	492	22398
43	502	22335
44	513	22325
45	525	22333
46	537	22347
47	548	22318
48	560	22301
49	571	22284
50	582	22242
51	593	22228
52	604	22221
53	615	22181
54	626	22172
55	638	22172
56	648	22095
57	660	22102
58	670	22067
59	682	22060
60	697	22176
61	708	22142
62	719	22129
63	727	22018
64	740	22030
65	751	22017
66	762	22006
67	774	22006
68	785	21988
69	797	21981
70	808	21966
71	819	21956
72	831	21949
73	842	21928
74	853	21906
75	864	21885
76	876	21888
77	887	21874
78	898	21849
79	909	21832
80	921	21830
81	932	21819
82	943	21794
83	955	21795
84	966	21784
85	978	21772
86	989	21761
87	1001	21760
88	1012	21729
89	1023	21716
90	1035	21724
91	1043	21643
92	1054	21625
93	1066	21615
94	1077	21614
95	1088	21591
96	1100	21584
97	1112	21588
98	1124	21595
99	1136	21599
100	1148	21596
101	1160	21593
102	1171	21583
103	1183	21567
104	1194	21555
105	1205	21536
106	1217	21533
107	1228	21525
108	1242	21549
109	1253	21532
110	1264	21527
111	1276	21521
112	1287	21495
113	1298	21484
114	1310	21475
115	1320	21454
116	1332	21442
117	1343	21431
118	1354	21406
119	1365	21389
120	1377	21385
121	1388	21374
122	1400	21371
123	1413	21384
124	1424	21370
125	1434	21340
126	1446	21336
127	1457	21318
128	1468	21299
129	1479	21282
130	1491	21276
131	1502	21269
132	1514	21265
133	1526	21258
134	1537	21241
135	1548	21222
136	1559	21211
137	1570	21196
138	1582	21192
139	1594	21183
140	1605	21174
141	1616	21154
142	1628	21148
143	1639	21135
144	1650	21110
145	1661	21098
146	1673	21097
147	1685	21087
148	1698	21098
149	1709	21080
150	1720	21071
151	1732	21061
152	1743	21042
153	1753	21020
154	1764	21004
155	1775	20991
156	1787	20987
157	1799	20984
158	1812	20980
159	1823	20973
160	1835	20966
161	1846	20949
162	1854	20901
163	1867	20907
164	1878	20895
165	1890	20891
166	1902	20884
167	1913	20871
168	1925	20862
169	1936	20850
170	1948	20835
171	1960	20831
172	1971	20824
173	1982	20809
174	1996	20819
175	2007	20808
176	2019	20799
177	2030	20784
178	2041	20769
179	2051	20744
180	2063	20736
181	2074	20721
182	2085	20710
183	2097	20697
184	2108	20684
185	2120	20677
